petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
44ae0e4d,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a5ecc1ed,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9d1ea03c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d1d3c02,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
4071c880,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
c196a3be,2,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
e053fb88,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a6f5a4c5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e0cef4db,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8529a806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a620991c,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35dd31bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18ed30ee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4f604ccb,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
b5bacde9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f08cb95d,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
b61a87ce,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
c62defcf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713cf78d,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123274e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2182f7b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faef6630,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
690c9839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd77f0c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a1cc6ba,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1b46b405,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ecf71e05,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
801ae3dc,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3190e3ee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bac8f78f,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d5b6edf0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2d2b330f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2a7943ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
18579d65,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bd21d30d,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56953817,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fd17690a,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9bc3e817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353b0bdd,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
428fb2c1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
67d6cf23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ecd4b8d,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
83e4e764,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1cc801ca,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
df790182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3ff733d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61bd5837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f908809e,1,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
f3c07590,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
88b07418,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6cd73735,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4e48b3b7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0758bfc3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
f9d8a5db,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ce9df37a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d2860f1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3054a108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
